cielab_id,shade_id,hex,red,green,blue,L,a,b,monk_category
120000,100000,#f2e0b8,242,224,184,89.697,0.044,21.845,4
120001,100001,#f0d7ba,240,215,186,87.326,4.215,17.476,4
120002,100002,#edccaa,237,204,170,84.015,6.628,21.246,5
120003,100003,#e9cfa3,233,207,163,84.275,2.639,25.223,5
120004,100004,#f4c9a4,244,201,164,83.803,10.092,24.217,5
120005,100005,#eecc9e,238,204,158,83.879,5.493,27.375,5
120006,100006,#e6c6a0,230,198,160,81.703,5.804,23.244,5
120007,100007,#f7c79b,247,199,155,83.437,11.223,28.492,5
120008,100008,#efd4b7,239,212,183,86.434,4.978,17.791,4
120009,100009,#fadcc2,250,220,194,89.583,6.432,16.579,4
120010,100010,#fbe1ba,251,225,186,90.737,3.133,22.363,4
120011,100011,#fbe2c5,251,226,197,91.205,4.134,17.304,4
120012,100012,#f9ebc7,249,235,199,93.312,-0.898,19.194,3
120013,100013,#f8ede7,248,237,231,94.438,2.686,4.214,1
120014,100014,#f8eeda,248,238,218,94.384,0.075,10.874,3
120015,100015,#d8af86,216,175,134,74.178,9.34,26.659,5
120016,100016,#e2b996,226,185,150,77.917,9.859,23.322,5
120017,100017,#d3b787,211,183,135,75.741,3.209,28.131,5
120018,100018,#e4be8f,228,190,143,79.217,7.16,28.823,5
120019,100019,#deb68a,222,182,138,76.571,8.45,27.831,5
120020,100020,#e4be85,228,190,133,79.051,6.049,33.84,5
120021,100021,#e1b580,225,181,128,76.446,9.076,32.999,5
120022,100022,#deae83,222,174,131,74.472,11.925,28.759,5
120023,100023,#d4a162,212,161,98,69.733,11.606,39.848,6
120024,100024,#c09558,192,149,88,64.49,8.857,38.128,6
120025,100025,#b58348,181,131,72,58.533,12.781,39.004,6
120026,100026,#c19158,193,145,88,63.586,11.475,37.044,6
120027,100027,#be8a5f,190,138,95,61.613,14.703,30.749,6
120028,100028,#cd9966,205,153,102,67.069,13.386,34.264,6
120029,100029,#c99d5b,201,157,91,67.493,8.566,40.451,6
120030,100030,#fdeddb,253,237,219,94.554,2.492,10.652,2
120031,100031,#f0dfce,240,223,206,89.747,3.052,10.416,2
120032,100032,#693e29,105,62,41,30.9,16.498,20.761,8
120033,100033,#3e2c20,62,44,32,19.761,6.429,11.03,9
120034,100034,#664530,102,69,48,32.469,11.486,18.35,8
120035,100035,#693e24,105,62,36,30.823,16.08,23.702,8
120036,100036,#573c29,87,60,41,27.895,9.292,16.435,8
120037,100037,#795027,121,80,39,37.752,12.859,30.609,7
120038,100038,#7d4f2f,125,79,47,38.124,15.902,26.665,7
120039,100039,#8b6234,139,98,52,44.904,11.446,32.357,7
120040,100040,#956036,149,96,54,45.665,17.253,32.471,7
120041,100041,#aa7938,170,121,56,54.562,12.451,42.251,6
120042,100042,#af7555,175,117,85,54.547,19.157,26.867,6
120043,100043,#a7784c,167,120,76,54.209,13.22,31.253,6
120044,100044,#ac7f4c,172,127,76,56.558,11.44,34.278,6
120045,100045,#46291a,70,41,26,19.894,11.713,15.431,8
120046,100046,#6c3c26,108,60,38,30.784,18.829,22.553,8
120047,100047,#72402a,114,64,42,32.727,19.466,22.7,7
120048,100048,#7b442b,123,68,43,35.044,21.197,25.225,7
120049,100049,#744229,116,66,41,33.5,19.096,24.31,7
120050,100050,#9f5c37,159,92,55,46.046,23.964,32.7,7
120051,100051,#a9643f,169,100,63,49.387,24.303,32.576,7
120052,100052,#9d5d33,157,93,51,45.957,22.274,34.715,7
120053,100053,#aa6a43,170,106,67,50.991,21.668,32.333,6
120054,100054,#bc7746,188,119,70,56.416,22.297,37.759,6
120055,100055,#da9765,218,151,101,68.006,19.735,36.279,6
120056,100056,#d8985e,216,152,94,67.922,17.797,39.797,6
120057,100057,#e8af73,232,175,115,75.486,13.823,38.685,5
120058,100058,#efb77f,239,183,127,78.317,13.526,36.219,5
120059,100059,#efc38f,239,195,143,81.492,8.857,32.033,5
120060,100060,#280201,40,2,1,4.488,17.561,6.635,10
120061,100061,#371605,55,22,5,11.939,15.032,16.097,9
120062,100062,#51220e,81,34,14,19.743,20.5,23.067,8
120063,100063,#542412,84,36,18,20.792,20.897,22.166,8
120064,100064,#84391a,132,57,26,33.789,30.27,33.827,7
120065,100065,#a14923,161,73,35,41.946,34.053,38.964,7
120066,100066,#aa5129,170,81,41,45.071,33.764,39.564,7
120067,100067,#a96b41,169,107,65,51.075,20.527,33.504,6
120068,100068,#ae5a30,174,90,48,47.658,30.953,38.877,7
120069,100069,#ca7941,202,121,65,58.617,26.753,43.357,6
120070,100070,#d38c60,211,140,96,64.525,22.391,34.402,6
120071,100071,#d99e6e,217,158,110,69.706,16.358,33.633,6
120072,100072,#3a1b13,58,27,19,14.005,14.33,12.255,9
120073,100073,#512212,81,34,18,19.792,20.719,20.898,8
120074,100074,#6e341e,110,52,30,29.07,23.872,25.428,8
120075,100075,#934b2b,147,75,43,40.264,27.595,32.234,7
120076,100076,#b76b48,183,107,72,53.007,26.95,32.418,6
120077,100077,#deaa85,222,170,133,73.529,14.287,26.43,5
