shade_id,product_id,shade_name,hex
100000,1,L2OLIVE,#f2e0b8
100001,1,L2Neutral,#f0d7ba
100002,1,L2PEACH,#edccaa
100003,1,LM2OLIVE,#e9cfa3
100004,1,LM1COOL,#f4c9a4
100005,1,LM1Warm,#eecc9e
100006,1,LM2Neutral,#e6c6a0
100007,1,LM2PEACH,#f7c79b
100008,1,LM1Neutral,#efd4b7
100009,1,L1COOL,#fadcc2
100010,1,L1Warm,#fbe1ba
100011,1,L1Neutral,#fbe2c5
100012,1,F2OLIVE,#f9ebc7
100013,1,F0COOL,#f8ede7
100014,1,F1Warm,#f8eeda
100015,1,M2Neutral,#d8af86
100016,1,M2COOL,#e2b996
100017,1,M2OLIVE,#d3b787
100018,1,M1Neutral,#e4be8f
100019,1,M1PEACH,#deb68a
100020,1,M1Warm,#e4be85
100021,1,M3Warm,#e1b580
100022,1,M3PEACH,#deae83
100023,1,MD1Warm,#d4a162
100024,1,MD2OLIVE,#c09558
100025,1,MD3Warm,#b58348
100026,1,MD2Neutral,#c19158
100027,1,MD3COOL,#be8a5f
100028,1,MD1Neutral,#cd9966
100029,1,MD1OLIVE,#c99d5b
100030,1,F1Neutral,#fdeddb
100031,1,F2COOL,#f0dfce
100032,1,RD2COOL,#693e29
100033,1,RD3COOL,#3e2c20
100034,1,RD1Neutral,#664530
100035,1,RD2Neutral,#693e24
100036,1,RD3Neutral,#573c29
100037,1,D4Neutral,#795027
100038,1,D4COOL,#7d4f2f
100039,1,D3OLIVE,#8b6234
100040,1,D3Neutral,#956036
100041,1,D2OLIVE,#aa7938
100042,1,D2COOL,#af7555
100043,1,D1Neutral,#a7784c
100044,1,D1OLIVE,#ac7f4c
100045,2,110,#46291a
100046,2,120,#6c3c26
100047,2,130,#72402a
100048,2,140,#7b442b
100049,2,150,#744229
100050,2,200,#9f5c37
100051,2,210,#a9643f
100052,2,220,#9d5d33
100053,2,230,#aa6a43
100054,2,240,#bc7746
100055,2,300,#da9765
100056,2,310,#d8985e
100057,2,320,#e8af73
100058,2,330,#efb77f
100059,2,340,#efc38f
100060,3,Rich 1,#280201
100061,3,Rich 1.5,#371605
100062,3,Rich 2,#51220e
100063,3,Rich 2.5,#542412
100064,3,Deep 1,#84391a
100065,3,Deep 1.5,#a14923
100066,3,Deep 2,#aa5129
100067,3,Deep 2.5,#a96b41
100068,3,Medium 1,#ae5a30
100069,3,Medium 1.5,#ca7941
100070,3,Medium 2,#d38c60
100071,3,Medium 2.5,#d99e6e
100072,4,"Rich 1 for rich, ebony skin with red undertones",#3a1b13
100073,4,Rich 2 for rich skin with yellow undertones,#512212
100074,4,Deep 1 for deep brown skin with Neutral undertones,#6e341e
100075,4,Deep 2 for deep brown skin with golden or yellow undertones,#934b2b
100076,4,Medium 1 for medium skin with Neutral or golden undertones,#b76b48
100077,4,Medium 2 for light medium skin with Neutral or olive undertones,#deaa85
100078,5,102 light pink,#f3cfb2
100079,5,104 light/medium pink,#f3c285
100080,5,204 light/medium yellow,#d3a776
100081,5,106 medium pink,#c58e67
100082,5,208 medium yellow,#b47d57
100083,6,00N very fair skin with Neutral undertones,#e0c8bb
100084,6,0CR very fair skin with Neutral undertones,#e5c6b1
100085,6,1N fair skin with Neutral undertones,#deb79a
100086,6,1CR fair skin with Cool Rosy undertones,#d8baa0
100087,6,1.5N light skin with Neutral undertones,#d9b69a
100088,6,2N light skin with Neutral golden undertones,#d6b397
100089,6,2W light skin Warm golden undertones,#cea682
100090,6,2WP light skin with Warm peach undertones,#c89f7f
100091,6,2.5W light skin with Warm undertones,#c89f7f
100092,6,3W light to medium skin with Warm undertones,#c99d76
100093,6,3N light to medium skin with Neutral undertones,#be9577
100094,6,3WO light to medium skin with Warm olive undertones,#c8a178
100095,6,3CR light to medium skin with Cool Rosy undertones,#cfa086
100096,6,4N medium skin with Neutral undertones,#b68366
100097,6,4W medium skin with Warm undertones,#bd8d65
100098,6,4WP medium skin with Warm peach undertones,#c39073
100099,6,4WO medium skin with Warm olive undertones,#bd916c
100100,6,4.5W tan skin with Warm undertones,#aa785d
100101,6,5W tan skin with Warm golden undertones,#ab7654
100102,6,6W tan skin with Warm olive undertones,#8d6148
100103,6,6.5N tan skin with Neutral undertones,#8e5742
100104,6,7N deep skin with Neutral olive undertones,#69493e
100105,6,7.5N deep skin with Neutral red undertones,#6d473e
100106,6,8N deep skin with Warm undertones,#5a3c34
100107,6,9N deep skin with Neutral undertones,#3f2822
100108,7,1 fair skin with a Neutral undertone,#d7c5b1
100109,7,2 fair skin with a Cool Rosy undertone,#ccb395
100110,7,3 fair skin with a Warm undertone,#dac0a7
100111,7,4 fair skin with a golden peach undertone,#d4b69e
100112,7,5 light skin with a Neutral golden undertone,#c2a07b
100113,7,6 light skin with a golden peach undertone,#d4b78f
100114,7,7 light skin with a cool olive undertone,#c9a87d
100115,7,8 light with a Warm golden undertone,#dabe96
100116,7,9 medium skin with a golden undertone,#ba9561
100117,7,10 medium skin with a cool golden undertone,#c59968
100118,7,11 medium to tan skin with a Neutral undertone,#a77a50
100119,7,12 medium skin with a cool olive undertone,#9c6840
100120,7,13 deep skin with a Neutral golden undertone,#966338
100121,7,14 deep skin with a Warm golden undertone,#966338
100122,7,15 deep skin with a Warm undertone,#4c2916
100123,7,16 deep skin with a Neutral undertone,#3b271c
100124,8,1 very fair skin with Neutral undertones,#eeddc9
100125,8,2 very fair skin with cool undertones,#e9d7c3
100126,8,3 fair skin with peach undertones,#f8d6b1
100127,8,4 fair to light skin with pink undertones,#f0d2b6
100128,8,5 light skin with Neutral peach undertones,#f6d1a5
100129,8,6 light skin with Neutral undertones,#f1cba6
100130,8,7 light skin with Warm undertones,#efc092
100131,8,8 light skin with golden undertones,#e5be85
100132,8,9 medium skin with cool undertones,#e8b887
100133,8,10 medium skin with golden undertones,#dbb27e
100134,8,11 medium skin with peach undertones,#f7c183
100135,8,12 medium skin with pink undertones,#d89d7f
100136,8,13 medium skin with cool peach undertones,#d69c6a
100137,8,14 medium skin with Neutral undertones,#d0935c
100138,8,15 medium skin with red undertones,#bc8658
100139,8,16 medium to tan skin with Warm undertones,#d78c52
100140,8,17 medium to tan skin with cool undertones,#c58349
100141,8,18 medium to tan skin with Neutral undertones,#b47c49
100142,8,19 medium to tan skin with peach undertones,#cc7c41
100143,8,20 medium to tan skin with Neutral olive undertones,#a46832
100144,8,21 deep skin with Warm golden undertones,#c88046
100145,8,22 deep skin with red undertones,#5a290b
100146,8,23 deep skin with red olive undertones,#753c0f
100147,8,24 deep skin with Neutral undertones,#682d0b
100148,8,25 very deep skin with Warm red undertones,#572202
100149,9,110C very fair with a cool undertone,#ead9c5
100150,9,120W very fair with a warm undertone,#f6d2ae
100151,9,130N with very fair skin with a neutral pink undertone,#e7d3bb
100152,9,140N fair skin with a neutral peach undertone,#f3d4b8
100153,9,150W fair skin with a warm beige undertone,#f7d0a9
100154,9,160C fair skin with a cool golden undertone,#f2d7ba
100155,9,200W light skin with a warm undertone,#f6cda1
100156,9,210N light skin with a neutral golden undertone,#f2cca7
100157,9,220N light skin with neutral peach undertone,#f1caa3
100158,9,230N light skin with a pink undertone,#ecbf96
100159,9,240N light skin with a neutral warm undertone,#f0bd8e
100160,9,250C light skin with a cool golden undertone,#ebc392
100161,9,260N light skin with a neutral undertone,#e1ba8f
100162,9,270C light to medium skin with a cool light golden undertone,#e3bc85
100163,9,290C light to medium skin with a warm golden undertone,#dbb47d
100164,9,300C light to medium skin with a cool golden undertone,#dcb07f
100165,9,305N medium skin with a neutral olive undertone,#e2b685
100166,9,310C medium skin with a cool olive undertone,#daa677
100167,9,315N medium skin with a neutral beige undertone,#d6a980
100168,9,320N medium skin with a neutral pink undertone,#d8a47c
100169,9,3300W medium skin with a warm yellow undertone,#d59b6b
100170,9,332C medium skin with a cool golden undertone,#d1a171
100171,9,335W medium skin with a warm peach undertone,#d49864
100172,9,340C medium skin with a cool peach undertone,#ce9967
100173,9,345C medium skin with a cool golden peach undertone,#d3955c
100174,9,350C medium skin with a golden undertone,#c58a60
100175,9,355N medium skin with a neutral golden undertone,#c08a5c
100176,9,360C medium skin with a deep golden undertone,#c68649
100177,9,365C medium to tan skin with a cool olive undertone,#b97d49
100178,9,370W medium to tan skin with a warm undertone,#b7763e
100179,9,410C tan skin with a golden undertone,#a46832
100180,9,420C tan skin with a cool undertone,#996335
100181,9,430W tan skin with a warm undertone,#a56631
100182,9,440C tan skin with a cool undertone,#94592d
100183,9,450C tan skin with a deep golden undertone,#885425
100184,9,470C tan skin with a cool deep golden undertone,#81461c
100185,9,480C tan skin with an olive undertone,#76421b
100186,9,490W tan skin with a red undertone,#753d18
100187,9,500C deep skin with a cool pink undertone,#6b3916
